node1,node2,bwd,delay,pkloss
1,3,82985.0656,2.839684,0.0
1,7,99985.0736,4.098535,0.0
1,16,99985.2096,2.735496,0.0
2,4,99985.2656,1.540661,0.0
2,7,99985.0496,2.817631,0.0
2,12,99985.1696,1.14727,0.0
2,13,99985.2176,1.792192,0.0
2,18,24985.2656,4.777074,0.0
2,23,24985.2656,2.498627,0.0
3,10,99985.1216,4.226089,0.0
3,11,24985.2656,3.918052,0.0
3,14,1535.0304,4.801989,0.0
3,21,99985.3136,1.969814,0.0
4,16,99985.0784,3.106713,0.0
5,8,24985.0176,1.888871,0.0
5,16,24985.1696,12.176514,0.0
6,7,1534.9616,2.368331,0.0
6,19,1534.9696,3.726721,0.0
7,17,99985.2096,1.73986,0.0
7,19,24985.1696,2.296329,0.0
7,21,99985.2656,3.912568,0.0
8,9,24985.2552,1.751781,0.0
9,15,24985.0576,1.978993,0.0
9,16,99985.1312,2.175808,0.0
10,11,24985.3136,3.351569,0.0
10,12,99985.1216,1.490116,0.0
10,16,99985.3136,2.216816,0.0
10,17,99985.2176,2.314448,0.0
12,22,99985.0176,3.414869,0.0
13,14,1535.1216,3.640771,0.0
13,17,99985.1136,1.567841,0.0
13,19,24985.0304,2.625346,0.0
15,20,24985.1696,4.024267,0.0
17,20,99985.1216,1.51968,0.0
17,23,24985.1216,2.931118,0.0
18,21,24985.2176,3.301263,0.0
20,22,24985.1696,1.74284,0.0
